"ID","Name","Latitude","Longitude","Region","Country","Continent"
"310116","NUNEATON (310116)","52.5201","-1.4639","","ENGLAND","EUROPE"
"310118","OXFORD (310118)","51.7513","-1.2538","","ENGLAND","EUROPE"
"310119","PAISLEY (310119)","55.8473","-4.4388","","SCOTLAND","EUROPE"
"310120","PETERBOROUGH (310120)","52.5690","-0.2388","","ENGLAND","EUROPE"
"310121","POOLE (310121)","50.7139","-1.9866","","ENGLAND","EUROPE"
"310122","PORTSMOUTH (310122)","50.7922","-1.0949","","ENGLAND","EUROPE"
"310123","PRESTON (310123)","53.7630","-2.7017","","ENGLAND","EUROPE"
"310124","READING (310124)","51.4523","-0.9724","","ENGLAND","EUROPE"
"310126","ROCHDALE (310126)","53.6139","-2.1604","","ENGLAND","EUROPE"
"310129","RUGBY (310129)","52.3705","-1.2635","","ENGLAND","EUROPE"
"310130","RUNCORN (310130)","53.3418","-2.7283","","ENGLAND","EUROPE"
"310132","SCUNTHORPE (310132)","53.5884","-0.6528","","ENGLAND","EUROPE"
"310133","SHREWSBURY (310133)","52.7066","-2.7513","","ENGLAND","EUROPE"
"310137","SOUTHEND-ON-SEA (310137)","51.5408","0.7132","","ENGLAND","EUROPE"
"310139","ST._ALBANS (310139)","51.7529","-0.3357","","ENGLAND","EUROPE"
"310141","STAFFORD (310141)","52.8064","-2.1192","","ENGLAND","EUROPE"
"310149","SWANSEA (310149)","51.6210","-3.9424","","WALES","EUROPE"
"310150","SWINDON (310150)","51.5556","-1.7784","","ENGLAND","EUROPE"
"310153","TORQUAY (310153)","50.4614","-3.5241","","ENGLAND","EUROPE"
"310154","TUNBRIDGE_WELLS (310154)","51.1338","0.2651","","ENGLAND","EUROPE"
"310158","WARRINGTON (310158)","53.3893","-2.5971","","ENGLAND","EUROPE"
